resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
PU_MEKAKA_KALIKA,人员：1人-小时/机器-小时,Operator,Operators,机器运行时间,70.5,65.56,393.35,65.56,5,CNY,2609.83,39.065,4659,4214,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发
PU_MEKAKA_KATOKA,人员：1人-小时/机器-小时,Operator,Operators,机器运行时间,41.11,40.63,81.27,40.63,2,CNY,583.27,14.2676,4041,3793,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,手工挖掘土方
DXME-MELI-KAPU_KAPURI,燃气焊接和切割设备,Equipment,General,台时,0.73,0.73,0.73,0.73,1,CNY,13.45,18.4801,3819,3819,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,降水
KAME-LI-MESA-KATO_KAKAPURI,带螺母和垫圈的建筑螺栓,Material,General,千克,27.6,27.6,27.6,27.6,1,CNY,909.62,32.9608,3400,3400,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机开挖土方并装载至自卸卡车
KAME-LI-KATO-KAME_KAKAKARI,自来水,Material,General,立方米,5.93,5.93,5.93,5.93,1,CNY,10407.46,1732.5504,3328,3328,建筑工程,混凝土和钢筋混凝土整体结构,核电站建筑结构,反应堆建筑保护壳预应力系统的沟槽成型器注浆
KAME-LI-MESA-KANE_KAMEMEME,建筑用钉,Material,General,吨,11854.75,11854.75,11854.75,11854.75,1,CNY,177.43,0.0132,3190,3190,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机开挖土方并装载至自卸卡车
DXME-KANE-KASA_KAMEME,单斗多功能前置气动轮式装载机，主斗额定容量2.6立方米，起重能力5吨,Equipment,General,台时,220.32,220.32,220.32,220.32,1,CNY,432.03,1.9609,2921,2921,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水利工程中的土壤开发与排水系统建设
RI_MEKAKA_KAPU,四级工人,Labor,Labor,手表,86.22,86.22,86.22,86.22,1,CNY,6181.82,71.7006,2918,2918,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水利工程中的土壤开发与排水系统建设
DXME-KADX-KARI_KAKAVO,防倾翻矿车，容积2.5立方米,Equipment,General,台时,1.54,1.54,1.54,1.54,1,CNY,129.67,84.2565,2892,2892,建筑工程,隧道掘进工程,常规方式进行的隧道工程,垂直井筒与井筒周边庭院、垂直井筒和倾斜井筒的装载装置室、地下料仓、破碎装置室、给料机和输送机
KAME-LI-MEME-KALI_KARITOKA,用于焊接低合金钢和碳钢的焊条 UONI 13/55、E50A，直径 4-5 毫米,Material,General,千克,18.83,18.83,18.83,18.83,1,CNY,1117.69,59.364,2861,2861,建筑工程,钻孔,钻井作业,其他钻井类型
ME_MEKAKA_TOKA,平均工作强度 1,Labor,Labor,手表,76.57,76.57,76.57,76.57,1,CNY,8042.66,105.0412,2694,2694,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发
PU_MEKAKA_KASASA,人员：2人·小时/机器·小时,Operator,Operators,机器运行时间,121.08,114.05,228.09,114.05,2,CNY,1035.23,8.9018,2611,2509,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,铁路和公路的挖沟与填筑
DXME-KADX-KATO_KATOSA,宽轨平台，载重能力73吨,Equipment,General,台时,28.79,28.79,28.79,28.79,1,CNY,469.16,16.2964,2608,2608,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,铁路和公路的挖沟与填筑
ME_MEKAKA_TOVO,平均工作强度 1,Labor,Labor,手表,84.29,84.29,84.29,84.29,1,CNY,23846.42,282.9182,2594,2594,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发
RI_MEKAKA_KASA,五级工人,Labor,Labor,手表,99.09,99.09,99.09,99.09,1,CNY,14619.97,147.549,2550,2550,建筑工程,钻孔,钻井作业,其他钻井类型
KAVO-ME-KARI-MEME_KAKAKAME,方坯锻件，重量1.5-4.5千克,Material,General,吨,10795.06,10795.06,10795.06,10795.06,1,CNY,3148.68,0.2888,2506,2506,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,为天然气和石油产品的主干管和工业管道挖掘和回填沟渠
DXME-KASA-KANE_KAKALI,履带式起重机，起重能力25吨,Equipment,General,台时,310.41,310.41,310.41,310.41,1,CNY,8025.52,25.8546,2365,2365,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,为天然气和石油产品的主干管和工业管道挖掘和回填沟渠
KAME-TO-KARI-KATO_KAKAKAME,乙炔气体技术级,Material,General,立方米,79.63,79.63,79.63,79.63,1,CNY,1443.61,18.1293,2331,2331,建筑工程,钻爆作业,爆炸区域的掩蔽及现行铁路轨道上的钻爆作业,为保护设施而掩蔽爆炸区域
RI_MEKAKA_KARI,二级工人,Labor,Labor,手表,70.13,70.13,70.13,70.13,1,CNY,2735.42,39.0037,2220,2220,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水利工程中的土壤开发与排水系统建设
ME_MEKAKA_TOSA,平均工作负荷 3.5,Labor,Labor,手表,81.39,81.39,81.39,81.39,1,CNY,12571.86,154.4608,2210,2210,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发
DXME-MEVO-KAME_KAKALI,内燃机驱动的移动式螺杆压缩机，压力高达0.7兆帕（7大气压），产能高达5.4立方米/分钟,Equipment,General,台时,53.18,53.18,53.18,53.18,1,CNY,1612.74,30.3268,2133,2133,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,土壤密实
RI_MEKAKA_KATO,三级工人,Labor,Labor,手表,76.57,76.57,76.57,76.57,1,CNY,6437.81,84.0812,2130,2130,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水利工程中的土壤开发与排水系统建设
MEPU-PU-KARI-KAPU_KAMEPURI,油漆 MA-0115，木乃伊色，铁红,Material,General,千克,16.51,16.51,16.51,16.51,1,CNY,39.21,2.37,2013,2013,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,降水
ME_MEKAKA_TODX,平均工作负荷 3.9,Labor,Labor,手表,85.25,85.25,85.25,85.25,1,CNY,39647.45,465.0566,1933,1933,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
KAME-LI-RIKA-KAVO_KAKASAME,彩色棉布,Material,General,千克,12.06,12.06,12.06,12.06,1,CNY,16.27,1.3495,1881,1881,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,土方工程边坡加固
ME_MEKAKA_SAKA,平均工作负荷 5.0,Labor,Labor,手表,99.09,99.09,99.09,99.09,1,CNY,24626.91,248.542,1829,1829,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,永久冻土和岩石地基的开挖
ME_MEKAKA_PURI,平均工作等级4.2,Labor,Labor,手表,88.79,88.79,88.79,88.79,1,CNY,46634.3,525.2102,1798,1798,建筑工程,采矿顶板作业,单斗挖掘机开挖土方,推土机推土作业
DXME-KANE-KANE_KAPUVO,单柱升降机，起重能力500千克，提升高度45米,Equipment,General,台时,7.61,7.61,7.61,7.61,1,CNY,6.46,0.8482,1750,1750,建筑工程,混凝土和钢筋混凝土整体结构,其他作业,混凝土表面的喷射处理
ME_MEKAKA_TONE,平均工作放电量 3.6,Labor,Labor,手表,82.36,82.36,82.36,82.36,1,CNY,25087.75,304.62,1726,1726,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,永久冻土和岩石地基的开挖
RISA-ME-KAME-KAPU_KAKATOME,针叶木枕，未浸渍，适用于宽轨铁路，I型,Material,General,件,311.6,311.6,311.6,311.6,1,CNY,2707.14,8.6879,1707,1707,建筑工程,桥梁与管道,各类工程,石笼结构的建造
DXME-KANE-KATO_KANERI,电动绞车，牵引力达31.39千牛（3.2吨）,Equipment,General,台时,2.63,2.63,2.63,2.63,1,CNY,70.55,26.803,1694,1694,建筑工程,桩基工程、沉井、地基加固,土壤加固,土壤水泥固结
DXME-KANE-KATO_KANERI,电力消耗：0.39千瓦时/小时,Electricity,Electricity,机器运行时间,0.26,0.26,0.26,0.26,1,CNY,6.96,26.803,1694,1694,建筑工程,桩基工程、沉井、地基加固,土壤加固,土壤水泥固结
PU_MEKAKA_KADXKA,人员：1人-小时/机器-小时,Operator,Operators,机器运行时间,75.46,74.78,149.56,74.78,2,CNY,3205.63,42.8438,1652,1568,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,刮土机开挖
KAME-LI-KADX-KARI_KAKATOME,ED-KZ型短延时防水电雷管,Material,General,1000 件,25155.13,25155.13,25155.13,25155.13,1,CNY,4052.11,0.1609,1647,1647,建筑工程,钻爆作业,岩土爆破作业,在台阶高度不超过0.5米的情况下，使用孔爆破炸药疏松岩土（表面平整）
KAME-LI-MEME-KAPU_KAKASARI,无涂层焊接丝 SV-08G2S，直径 2 毫米,Material,General,千克,14.62,14.62,14.62,14.62,1,CNY,191.94,13.1273,1616,1616,建筑工程,桩基工程、沉井、地基加固,土壤加固,粘土溶液下沟槽的设置
ME_MEKAKA_TOLI,平均工作负荷 3.7,Labor,Labor,手表,83.32,83.32,83.32,83.32,1,CNY,19486.49,233.8704,1611,1611,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
DXME-KANE-KATO_KANEKA,电动绞车，牵引力达5.79千牛（0.59吨）,Equipment,General,台时,1.3,1.3,1.3,1.3,1,CNY,2.84,2.1902,1598,1598,建筑工程,建筑金属结构,构筑物,料仓、筒仓、分解器、浓缩器
KAPU-ME-KARI-KASA,重型混凝土混合料,Abstract Material,General,立方米,705.76,705.76,705.76,705.76,1,CNY,35922.66,50.899,1589,1589,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,土壤密实
TO_RIKAKA_KAME,一级工程师,Material,General,人-小时,138.34,138.34,138.34,138.34,1,CNY,18728.14,135.3824,1536,1536,调试工作,电气设备,同步发电机和励磁机,发电机
PU_MEKAKA_KAVOKA,人员：2人·小时/机器·小时,Operator,Operators,机器运行时间,87.53,70.0,419.99,70.0,4,CNY,3079.64,29.544,1525,1405,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机开挖土方并装载至自卸卡车
ME_MEKAKA_TOME,平均工作负荷 3.1,Labor,Labor,手表,77.53,77.53,77.53,77.53,1,CNY,14972.67,193.1154,1517,1517,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水利工程中的土壤开发与排水系统建设
DXME-MEPU-KASA_KAMERI,通用半挂车，载重量不超过15吨,Equipment,General,台时,22.15,22.15,22.15,22.15,1,CNY,46.87,2.1166,1515,1515,建筑工程,钻孔,钻井作业,其他钻井类型
TO_RIKAKA_KARI,二级工程师,Material,General,人-小时,126.11,126.11,126.11,126.11,1,CNY,13294.28,105.4181,1512,1512,调试工作,电气设备,同步发电机和励磁机,激励系统
ME_MEKAKA_PUME,平均工作强度 4,Labor,Labor,手表,87.51,87.51,87.51,87.51,1,CNY,52124.04,595.6684,1507,1507,建筑工程,钻爆作业,岩土的室炸药松动、土方的大规模爆破及沟渠（通道）的清除,使用室式炸药进行大规模爆破，将开挖量减少至设计开挖量的80%
KALI-RI-KALI-MERI_KAKAKAME,辅助用途的金属结构，以厚板钢或型材为主，带孔或无孔,Material,General,吨,20331.44,20331.44,20331.44,20331.44,1,CNY,6992.66,0.3389,1498,1498,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
DXME-MEKA-KAME_KAKARI,填充加压装置，流量达300立方米/小时,Equipment,General,台时,439.95,439.95,439.95,439.95,1,CNY,5372.87,12.2124,1439,1439,建筑工程,建筑金属结构,构筑物,储罐、储气罐
DXME-KANE-KATO_KASASA,电动绞车，牵引力19.62千牛（2吨）,Equipment,General,台时,2.24,2.24,2.24,2.24,1,CNY,89.2,39.7806,1428,1428,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,永久冻土和岩石地基的开挖
DXME-KANE-KATO_KASASA,电力消耗：0.39千瓦时/小时,Electricity,Electricity,机器运行时间,0.26,0.26,0.26,0.26,1,CNY,10.33,39.7806,1428,1428,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,永久冻土和岩石地基的开挖
ME_MEKAKA_TORI,平均工作负荷3.2,Labor,Labor,手表,78.5,78.5,78.5,78.5,1,CNY,12632.38,160.9293,1420,1420,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
RI_MEKAKA_KANE,6级工人,Labor,Labor,手表,115.81,115.81,115.81,115.81,1,CNY,9763.55,84.3031,1405,1405,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,与伐木、场地及路线清理相关的准备工作
MEME-ME-KARI-KAPU_KAKATOME,圆木，针叶树种，未去皮，长度3-6.5米，直径14-24厘米，II-III级,Material,General,立方米,954.97,954.97,954.97,954.97,1,CNY,4578.91,4.7948,1405,1405,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,为天然气和石油产品的主干管和工业管道挖掘和回填沟渠
KAVO-ME-KARI-MEME_KAKARITO,普通建筑锻件（卡箍、固定件、夹具），重量不超过1.6千克,Material,General,千克,23.69,23.69,23.69,23.69,1,CNY,1022.88,43.1812,1384,1384,建筑工程,混凝土和钢筋混凝土整体结构,其他作业,混凝土表面的喷射处理
DXME-KANE-KATO_KASAPU,电力消耗：0.39千瓦时/小时,Electricity,Electricity,机器运行时间,0.26,0.26,0.26,0.26,1,CNY,22.0,84.7095,1381,1381,建筑工程,隧道掘进工程,常规方式进行的隧道工程,垂直井筒与井筒周边庭院、垂直井筒和倾斜井筒的装载装置室、地下料仓、破碎装置室、给料机和输送机
DXME-KANE-KATO_KASAPU,矿井调车绞车，用于将矿车推至第一道分流口,Equipment,General,台时,6.83,6.83,6.83,6.83,1,CNY,578.97,84.7095,1381,1381,建筑工程,隧道掘进工程,常规方式进行的隧道工程,垂直井筒与井筒周边庭院、垂直井筒和倾斜井筒的装载装置室、地下料仓、破碎装置室、给料机和输送机
DXME-KALI-KAPU_KAKAME,深孔振动器,Equipment,General,台时,1.78,1.78,1.78,1.78,1,CNY,104.26,58.6705,1380,1380,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
KAME-PU-KATO-KAPU_KAKAMEME,55S2六角空心钻杆钢，外径22毫米，内径6.5毫米,Material,General,吨,30026.76,30026.76,30026.76,30026.76,1,CNY,1020.43,0.034,1369,1369,建筑工程,隧道和地铁,封闭式作业方式,斜坡和竖井开挖
DXME-RIME-MEKA_KAKAME,气动破碎锤（由固定式压缩机站供气）,Equipment,General,台时,8.67,8.67,8.67,8.67,1,CNY,931.38,107.4084,1367,1367,建筑工程,供热与燃气管道——外部管网,城镇及村庄燃气管道,城镇及村庄输气管道的电化学保护
MEME-ME-KATO-KAME_KAKANELI,天然湿度针叶树（云杉、松树）边材，长度2-6.5米，宽度100毫米以上，厚度100毫米以上，III级,Material,General,立方米,2287.73,2287.73,2287.73,2287.73,1,CNY,2414.28,1.0545,1364,1364,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
KAME-LI-RIKA-KAVO_KAMERIRI,棉质抹布，尺寸400×400毫米，表面密度105至130克/平方米,Material,General,平方米,3.38,3.38,3.38,3.38,1,CNY,24.48,7.2386,1359,1359,建筑工程,建筑金属结构,核电站结构,核电站金属结构安装
DXME-RIME-RIRI_TOKAME,便携式气动冲击钻支架,Equipment,General,台时,0.67,0.67,0.67,0.67,1,CNY,122.99,184.4683,1339,1339,建筑工程,隧道和地铁,封闭式作业方式,井筒穿孔
ME_MEKAKA_TOPU,平均工作负荷 3.4,Labor,Labor,手表,80.43,80.43,80.43,80.43,1,CNY,10800.21,134.2847,1337,1337,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
KAME-LI-MEDX-KAPU_KAKATOME,橡胶垫片（技术压制板）,Material,General,千克,30.7,30.7,30.7,30.7,1,CNY,342.31,11.1515,1331,1331,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
ME_MEKAKA_PUSA,平均工作放电次数 4.5,Labor,Labor,手表,92.65,92.65,92.65,92.65,1,CNY,66455.65,717.2658,1313,1313,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
ME_MEKAKA_TOTO,平均工作强度 1,Labor,Labor,手表,79.46,79.46,79.46,79.46,1,CNY,9701.99,122.0959,1306,1306,建筑工程,土方工程,其他土方工程、准备性、配套及加固工程,土方工程边坡加固
RIME-RI-KATO-KADX_KAKAKAPU,PRN电线，截面2.5 mm2,Material,General,1000米,3687.12,3687.12,3687.12,3687.12,1,CNY,1281.4,0.3475,1284,1284,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,为天然气和石油产品的主干管和工业管道挖掘和回填沟渠
DXME-MELI-KAPU_KATOPU,内燃机焊接机组，用于手工电弧焊接，焊接电流高达400安培，工作站数量为1,Equipment,General,台时,14.32,14.32,14.32,14.32,1,CNY,621.22,43.391,1279,1279,建筑工程,钻爆作业,爆炸区域的掩蔽及现行铁路轨道上的钻爆作业,为保护设施而掩蔽爆炸区域
KAME-LI-MEME-KALI_KATOMETO,用于焊接高合金和高熔点钢的钨焊条,Material,General,千克,706.12,706.12,706.12,706.12,1,CNY,78.56,0.1112,1246,1246,建筑工程,建筑金属结构,核电站结构,核电站金属结构安装
DXME-KANE-KATO_KANETO,电动绞车，牵引力达49.05千牛（5吨）,Equipment,General,台时,4.59,4.59,4.59,4.59,1,CNY,268.36,58.4849,1244,1244,建筑工程,桩基工程、沉井、地基加固,桩基工程,海上浮动平台桩基施工
DXME-KANE-KATO_KANETO,电力消耗：0.53千瓦时/马力小时,Electricity,Electricity,机器运行时间,0.35,0.35,0.35,0.35,1,CNY,20.76,58.4849,1244,1244,建筑工程,桩基工程、沉井、地基加固,桩基工程,海上浮动平台桩基施工
ME_MEKAKA_RIKA,平均工作负荷 2.0,Labor,Labor,手表,70.13,70.13,70.13,70.13,1,CNY,3470.21,49.4808,1242,1242,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发
ME_MEKAKA_PUTO,平均工作负荷 4.3,Labor,Labor,手表,90.08,90.08,90.08,90.08,1,CNY,61755.96,685.5814,1222,1222,建筑工程,采矿顶板作业,单斗挖掘机开挖土方,挖掘机开挖土方，将土方堆放于沟槽侧壁或已开挖区域
MEME-ME-KATO-KASA_KAKANESA,天然湿度针叶树未刨光板材，长度2-6.5米，宽度100-250毫米，厚度30-50毫米，III级,Material,General,立方米,2455.68,2455.68,2455.68,2455.68,1,CNY,1779.4,0.7246,1214,1214,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
DXME-MEPU-KARI_KAKARI,卡车，载重量达8吨,Equipment,General,台时,116.54,116.54,116.54,116.54,1,CNY,625.7,5.369,1205,1205,建筑工程,混凝土和钢筋混凝土整体结构,在固定模板中建造结构（用桶输送混凝土）,钢筋混凝土柱的施工
TO_RIKAKA_KATO,三类工程师,Material,General,人-小时,113.24,113.24,113.24,113.24,1,CNY,10613.73,93.7263,1203,1203,调试工作,电气设备,同步发电机和励磁机,发电机
DXME-MEKA-KASA_KAKALI,管道铺设机，额定起重能力12.5吨,Equipment,General,台时,371.99,371.99,371.99,371.99,1,CNY,10217.41,27.4673,1195,1195,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
KAME-LI-MEME-KALI_KAKAPUME,用于焊接低合金钢和碳素钢的焊条，型号E55，直径4毫米,Material,General,吨,20016.66,20016.66,20016.66,20016.66,1,CNY,1001.67,0.0498,1170,1170,建筑工程,钻爆作业,爆炸区域的掩蔽及现行铁路轨道上的钻爆作业,为保护设施而掩蔽爆炸区域
DXME-MELI-KAPU_RITORI,电力：消耗量 3.52 千瓦·时/机器小时,Electricity,Electricity,机器运行时间,2.37,2.37,2.37,2.37,1,CNY,194.79,82.3636,1164,1164,建筑工程,建筑金属结构,构筑物,储罐、储气罐
DXME-MELI-KAPU_RITORI,用于氩弧焊的三相焊接逆变器，最大焊接电流500 A,Equipment,General,台时,9.6,9.6,9.6,9.6,1,CNY,790.49,82.3636,1164,1164,建筑工程,建筑金属结构,构筑物,储罐、储气罐
DXME-KASA-KAME_KAMELI,电力：消耗量 6.83 千瓦·时/机器小时,Electricity,Electricity,机器运行时间,4.59,4.59,4.59,4.59,1,CNY,108.1,23.5446,1154,1154,建筑工程,桩基工程、沉井、地基加固,沉井工程,建造整体式钢筋混凝土沉井的墙体和刀片结构
DXME-KASA-KAME_KAMELI,塔式起重机，起重能力8吨,Equipment,General,台时,133.26,133.26,133.26,133.26,1,CNY,3137.64,23.5446,1154,1154,建筑工程,桩基工程、沉井、地基加固,沉井工程,建造整体式钢筋混凝土沉井的墙体和刀片结构
MEPU-SA-KADX-KAME_KAKAKAME,工业级丙酮，I级,Material,General,千克,13.53,13.53,13.53,13.53,1,CNY,71.77,5.2955,1124,1124,建筑工程,建筑金属结构,核电站结构,核电站金属结构安装
DXME-KAME-KAME_KATOPU,推土机，功率59千瓦（80马力）,Equipment,General,台时,155.43,155.43,155.43,155.43,1,CNY,11085.38,71.3211,1110,1110,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,刮土机开挖
DXME-MEPU-KAPU_KAKAME,牵引车，牵引装置负载高达12吨,Equipment,General,台时,139.21,139.21,139.21,139.21,1,CNY,202.81,1.4569,1106,1106,建筑工程,桩基工程、沉井、地基加固,桩基工程,从地面进行的桩基施工
KAME-LI-KAVO-KAPU_KAKAKATO,天然研磨白垩,Material,General,吨,698.5,698.5,698.5,698.5,1,CNY,6.13,0.0082,1096,1096,建筑工程,砖砌体和砌块结构,取暖炉和火炉,炉灶修整
DXME-MEPU-KARI_KAKATO,平板车，载重能力达10吨,Equipment,General,台时,118.35,118.35,118.35,118.35,1,CNY,445.48,3.7639,1086,1086,建筑工程,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,水力机械化法土方工程
DXME-KATO-KAVO_KAKATO,用于钻孔和钻井的柱式冲击钻，便携式，在固定式压缩机站工作时使用,Equipment,General,台时,53.51,53.51,53.51,53.51,1,CNY,12097.08,226.0747,1086,1086,建筑工程,隧道和地铁,封闭式作业方式,斜坡和竖井开挖
ME_MEKAKA_PUVO,平均工作放电量4.8,Labor,Labor,手表,96.51,96.51,96.51,96.51,1,CNY,27920.15,289.2908,1074,1074,建筑工程,钻孔,钻井作业,其他钻井类型
MEME-ME-KARI-KADX_KAKAKATO,针叶木矿井支柱（松木、冷杉），长度0.9-4米，直径7-24厘米,Material,General,立方米,470.81,470.81,470.81,470.81,1,CNY,5961.8,12.6628,1063,1063,建筑工程,钻爆作业,岩土的室炸药松动、土方的大规模爆破及沟渠（通道）的清除,岩土开挖中岩土的松动处理
